CiudadOrigen,CiudadDestino,Distancia
0,0,0
0,1,0
0,2,0
0,3,0
0,4,0
0,5,0
0,6,0
0,7,0
1,0,0
1,1,0.000000000000000000e+00
1,2,4.726653149957165624e+03
1,3,1.204349201851356838e+03
1,4,6.362502102160752656e+03
1,5,3.656991249647720906e+03
1,6,3.129520889848795832e+03
1,7,2.413522322250200432e+03
2,0,0
2,1,4.726653149957165624e+03
2,2,0.000000000000000000e+00
2,3,3.587423169909008720e+03
2,4,2.011662247992937864e+03
2,5,1.841400825458704958e+03
2,6,6.976770671306317126e+03
2,7,6.500002769230179183e+03
3,0,0
3,1,1.204349201851356838e+03
3,2,3.587423169909008720e+03
3,3,0.000000000000000000e+00
3,4,5.162027702366580343e+03
3,5,2.457865740841024945e+03
3,6,3.677395817694907691e+03
3,7,3.070360402298075314e+03
4,0,0
4,1,6.362502102160752656e+03
4,2,2.011662247992937864e+03
4,3,5.162027702366580343e+03
4,4,0.000000000000000000e+00
4,5,2.798672899786611197e+03
4,6,8.063717380960222727e+03
4,7,7.726785165901793334e+03
5,0,0
5,1,3.656991249647720906e+03
5,2,1.841400825458704958e+03
5,3,2.457865740841024945e+03
5,4,2.798672899786611197e+03
5,5,0.000000000000000000e+00
5,6,5.329472018877667324e+03
5,7,4.945934188805993472e+03
6,0,0
6,1,3.129520889848795832e+03
6,2,6.976770671306317126e+03
6,3,3.677395817694907691e+03
6,4,8.063717380960222727e+03
6,5,5.329472018877667324e+03
6,6,0.000000000000000000e+00
6,7,7.428250130414295427e+02
7,0,0
7,1,2.413522322250200432e+03
7,2,6.500002769230179183e+03
7,3,3.070360402298075314e+03
7,4,7.726785165901793334e+03
7,5,4.945934188805993472e+03
7,6,7.428250130414295427e+02
7,7,0.000000000000000000e+00
