CiudadOrigen,CiudadDestino,Distancia
0,0,0.000000000000000000e+00
0,1,4.726653149957165624e+03
0,2,1.204349201851356838e+03
0,3,6.362502102160752656e+03
0,4,3.656991249647720906e+03
0,5,3.129520889848795832e+03
0,6,2.413522322250200432e+03
0,7,5.623041881401916271e+02
0,8,4.620822437618654135e+02
0,9,5.653503338638794958e+03
1,0,4.726653149957165624e+03
1,1,0.000000000000000000e+00
1,2,3.587423169909008720e+03
1,3,2.011662247992937864e+03
1,4,1.841400825458704958e+03
1,5,6.976770671306317126e+03
1,6,6.500002769230179183e+03
1,7,5.186866877027016926e+03
1,8,5.027708225424383272e+03
1,9,2.326835189694362725e+03
2,0,1.204349201851356838e+03
2,1,3.587423169909008720e+03
2,2,0.000000000000000000e+00
2,3,5.162027702366580343e+03
2,4,2.457865740841024945e+03
2,5,3.677395817694907691e+03
2,6,3.070360402298075314e+03
2,7,1.741999138920567930e+03
2,8,1.443587544972593605e+03
2,9,4.461989354536830433e+03
3,0,6.362502102160752656e+03
3,1,2.011662247992937864e+03
3,2,5.162027702366580343e+03
3,3,0.000000000000000000e+00
3,4,2.798672899786611197e+03
3,5,8.063717380960222727e+03
3,6,7.726785165901793334e+03
3,7,6.877268716576370934e+03
3,8,6.580345355678529813e+03
3,9,1.401707886829492054e+03
4,0,3.656991249647720906e+03
4,1,1.841400825458704958e+03
4,2,2.457865740841024945e+03
4,3,2.798672899786611197e+03
4,4,0.000000000000000000e+00
4,5,5.329472018877667324e+03
4,6,4.945934188805993472e+03
4,7,4.199864878778839739e+03
4,8,3.823602620566106907e+03
4,9,2.011199890612566605e+03
5,0,3.129520889848795832e+03
5,1,6.976770671306317126e+03
5,2,3.677395817694907691e+03
5,3,8.063717380960222727e+03
5,4,5.329472018877667324e+03
5,5,0.000000000000000000e+00
5,6,7.428250130414295427e+02
5,7,3.208387289589584270e+03
5,8,2.669162602765144584e+03
5,9,6.928296832555603032e+03
6,0,2.413522322250200432e+03
6,1,6.500002769230179183e+03
6,2,3.070360402298075314e+03
6,3,7.726785165901793334e+03
6,4,4.945934188805993472e+03
6,5,7.428250130414295427e+02
6,6,0.000000000000000000e+00
6,7,2.467299738580620669e+03
6,8,1.951457404095718402e+03
6,9,6.672586455041253430e+03
7,0,5.623041881401916271e+02
7,1,5.186866877027016926e+03
7,2,1.741999138920567930e+03
7,3,6.877268716576370934e+03
7,4,4.199864878778839739e+03
7,5,3.208387289589584270e+03
7,6,2.467299738580620669e+03
7,7,0.000000000000000000e+00
7,8,7.178983214912819903e+02
7,9,6.202368096138764486e+03
8,0,4.620822437618654135e+02
8,1,5.027708225424383272e+03
8,2,1.443587544972593605e+03
8,3,6.580345355678529813e+03
8,4,3.823602620566106907e+03
8,5,2.669162602765144584e+03
8,6,1.951457404095718402e+03
8,7,7.178983214912819903e+02
8,8,0.000000000000000000e+00
8,9,5.788323764268892774e+03
9,0,5.653503338638794958e+03
9,1,2.326835189694362725e+03
9,2,4.461989354536830433e+03
9,3,1.401707886829492054e+03
9,4,2.011199890612566605e+03
9,5,6.928296832555603032e+03
9,6,6.672586455041253430e+03
9,7,6.202368096138764486e+03
9,8,5.788323764268892774e+03
9,9,0.000000000000000000e+00
0,10,0
1,10,0
2,10,0
3,10,0
4,10,0
5,10,0
6,10,0
7,10,0
8,10,0
9,10,0
10,0,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
10,10,0
